[2025-07-27T20:13:09.477+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 12 — On continue
[2025-07-27T20:13:09.488+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 11 — On continue
[2025-07-27T20:13:09.497+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 10 — On continue
[2025-07-27T20:13:09.507+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 09 — On continue
[2025-07-27T20:13:09.516+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 08 — On continue
[2025-07-27T20:13:09.527+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 07 — On continue
[2025-07-27T20:13:09.536+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 06 — On continue
[2025-07-27T20:13:09.547+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 05 — On continue
[2025-07-27T20:13:09.556+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 04 — On continue
[2025-07-27T20:13:09.567+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 03 — On continue
[2025-07-27T20:13:09.577+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 02 — On continue
[2025-07-27T20:13:09.588+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 01 — On continue
[2025-07-27T20:13:09.597+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-18 00 — On continue
[2025-07-27T20:13:09.607+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-17 23 — On continue
[2025-07-27T20:13:09.617+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-17 22 — On continue
[2025-07-27T20:13:09.625+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-17 21 — On continue
[2025-07-27T20:13:09.635+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-17 20 — On continue
[2025-07-27T20:13:09.646+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-17 19 — On continue
[2025-07-27T20:13:09.656+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-17 18 — On continue
[2025-07-27T20:13:09.666+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-17 17 — On continue
[2025-07-27T20:13:09.676+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-17 16 — On continue
[2025-07-27T20:13:09.686+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-17 15 — On continue
[2025-07-27T20:13:09.696+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-17 14 — On continue
[2025-07-27T20:13:09.706+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-17 13 — On continue
[2025-07-27T20:13:09.716+0000] {drift_monitoring.py:90} WARNING - ⚠️ Données manquantes pour 2025-07-17 12 — On continue
